English,Shakespearean
"I'll tell you , good Brutus .","Therefore , good Brutus , be prepared to hear ."
"And since you know you can see yourself best by reflection , I'll be your mirror and show you , without exaggeration , things inside you that you can't see .","And since you know you can not see yourself So well as by reflection , I , your glass , Will modestly discover to yourself That of yourself which you yet know not of ."
"And don't be suspicious of me , noble Brutus .","And be not jealous on me , gentle Brutus ."
"If I were your average fool , or if I made my feelings for you worthless by making the same promises of friendship to everybody , or if you'd seen me first flattering men , hugging them tightly , and later slandering them behind their backs , or if you hear that I drunkenly declare friendship at banquets with all the rabble , only then , of course , go ahead and assume I'm dangerous .","Were I a common laugher , or did use To stale with ordinary oaths my love To every new protester , if you know That I do fawn on men and hug them hard And , after , scandal them , or if you know That I profess myself in banqueting To all the rout , then hold me dangerous ."
Why are they shouting ?,What means this shouting ?
I'm afraid the people have made Caesar their king .,"I do fear , the people Choose Caesar for their king ."
"Really , are you afraid of that ?","Ay , do you fear it ?"
Then I have to assume you don't want him to be king .,Then must I think you would not have it so .
"I dreamed last night that I feasted with Caesar , and unlucky signs overwhelmed my imagination .","I dreamt tonight that I did feast with Caesar , And things unlucky charge my fantasy ."
"I have no desire to go outside , yet something leads me there .","I have no will to wander forth of doors , Yet something leads me forth ."
What's your name ?,What is your name ?
Where are you going ?,Whither are you going ?
Where do you live ?,Where do you dwell ?
Are you a married man or a bachelor ?,Are you a married man or a bachelor ?
"Answer all of us , now .",Answer every man directly .
"Yes , and be brief .","Ay , and briefly ."
"Yes , and be wise .","Ay , and wisely ."
What's my name ?,What is my name ?
Where am I going ?,Whither am I going ?
Where do I live ?,Where do I dwell ?
Am I a married man or a bachelor ?,Am I a married man or a bachelor ?
"Then , to answer every man briefly , wisely , and truthfully , wisely I say , I am a bachelor .","Then , to answer every man directly and briefly , wisely and truly , wisely I say , I am a bachelor ."
You imply that married men are fools .,That's as much as to say they are fools that marry .
"You'll get a blow from me for that , I think .","You'll bear me a bang for that , I fear ."
"Right this instant , I'm going to Caesar's funeral .","Directly , I am going to Caesar's funeral ."
As a friend or an enemy ?,As a friend or an enemy ?
As a friend .,As a friend .
"Getting right to the point , I live near the Capitol .","Briefly , I dwell by the Capitol ."
"Tell us your name , sir , truthfully .","Your name , sir , truly ."
"Truthfully , my name is Cinna .","Truly , my name is Cinna ."
Tear him to pieces .,Tear him to pieces .
He's a conspirator .,He's a conspirator .
I'm not Cinna the conspirator .,I am not Cinna the conspirator .
It doesn't matter .,It is no matter .
His name's Cinna .,His name's Cinna .
Pull only his name out of his heart and let him go .,Pluck but his name out of his heart and turn him going .
"Tear him apart , tear him up !","Tear him , tear him !"
"Come , firebrands , over here !","Come , brands , ho , firebrands ."
"To Brutus's , to Cassius's , let's burn them all .","To Brutus ' , to Cassius ' , burn all ."
Some of you go to Decius's house and some to Casca's .,Some to Decius ' house and some to Casca's .
Some to Ligarius's .,Some to Ligarius ' .
Go !,"Away , go !"
"These ones , then , will be assassinated .","These many , then , shall die ."
Their names are marked .,Their names are pricked .
"I agree , Put a mark next to his name too , Antony .","I do consent , Prick him down , Antony ."
"On the condition that your sister's son , Publius , also must die , Mark Antony .","Upon condition Publius shall not live , Who is your sister's son , Mark Antony ."
He will die .,He shall not live .
"See , I've sealed his fate with this mark next to his name .","Look , with a spot I damn him ."
"But , Lepidus , go to Caesar's house .","But , Lepidus , go you to Caesar's house ."
"Bring his will here , and we'll figure out a way to reduce his bequests to the people .","Fetch the will hither , and we shall determine How to cut off some charge in legacies ."
Will you be here when I return ?,"What , shall I find you here ?"
Either here or at the Capitol .,"Or here , or at the Capitol ."
"He's an unremarkable man , fit only to be sent on errands .","This is a slight , unmeritable man , Meet to be sent on errands ."
"Does it really make sense , once we divide the world into three parts , that he should be one of the three rulers ?","Is it fit , The threefold world divided , he should stand One of the three to share it ?"
"Octavius , I'm older than you are .","Octavius , I have seen more days than you ."
"And although we're giving these honors to this man so that he shares some of the blame for what we're doing , he'll carry these honors like a jackass carries gold , groaning and sweating under the load , either led or pushed , as we direct him .","And though we lay these honors on this man To ease ourselves of divers slanderous loads , He shall but bear them as the ass bears gold , To groan and sweat under the business , Either led or driven , as we point the way ."
"Once he's carried our treasure where we want it , we'll free him of the load and turn him loose like a jackass , to shake his ears and graze in the public pastures .","And having brought our treasure where we will , Then take we down his load and turn him off , Like to the empty ass , to shake his ears And graze in commons ."
"You can do what you want , but he's an experienced and honorable soldier .","You may do your will , But he's a tried and valiant soldier ."
"So is my horse , Octavius , and for that reason I give him all the hay he wants .","So is my horse , Octavius , and for that I do appoint him store of provender ."
Stop .,"Stand , ho !"
Pass on the command to halt !,"Give the word , ho , and stand ."
"What's happening now , Lucillius ?","What now , Lucillius ?"
Is Cassius nearby ?,Is Cassius near ?
"He's nearby , and Pindarus has come to salute you on behalf of his master .","He is at hand , and Pindarus is come To do you salutation from his master ."
"If he's nearby , I want an explanation .",But if he be at hand I shall be satisfied .
"Can I have a word with you , Lucillius ?","He is not doubted. , A word , Lucillius ."
"He received me with courtesy and sufficient respect , but not with affection , nor with as much open and friendly conversation as he once greeted me .",But not with such familiar instances Nor with such free and friendly conference As he hath used of old .
You've described a warm friend who's cooling off .,Thou hast described A hot friend cooling .
Plain and simple loyalty doesn't make anyone act phony .,There are no tricks in plain and simple faith .
"But insincere men , like horses who are too lively at the start of a race , make a big show of their spirit .","But hollow men , like horses hot at hand , Make gallant show and promise of their mettle ."
"But when push comes to shove , they droop like those horses that are all show and slow to a crawl .","But when they should endure the bloody spur , They fall their crests and , like deceitful jades , Sink in the trial ."
Is his army approaching ?,Comes his army on ?
They plan to spend the night in Sardis .,They mean this night in Sardis to be quartered .
"The larger part , the main body of cavalry , are coming with Cassius .","The greater part , the horse in general , Are come with Cassius ."
Look !,Hark !
He's arrived .,He is arrived .
March to meet him at a dignified pace .,March gently on to meet him .
Halt .,"Stand , ho !"
Halt !,"Stand , ho !"
Pass the order along .,Speak the word along .
Halt !,Stand !
Halt !,Stand !
Halt !,Stand !
"Most noble brother , you have done me wrong .","Most noble brother , you have done me wrong ."
Let the gods judge me !,"Judge me , you gods !"
Do I mistreat even my enemies ?,Wrong I mine enemies ?
"And when you do , Cassius , calm down .","And when you do them , Cassius , be content ."
"Let's not argue here in front of both our armies , which ought to see nothing but love between us .","Before the eyes of both our armies here , Which should perceive nothing but love from us , Let us not wrangle ."
Order them to move back .,Bid them move away .
"Then , in my tent , you can elaborate on your complaints , and I'll listen .","Then in my tent , Cassius , enlarge your griefs , And I will give you audience ."
"Pindarus , order our commanders to lead their charges a little ways away from this ground .","Pindarus , Bid our commanders lead their charges off A little from this ground ."
Have Lucius and Titinius guard the door .,Let Lucius and Titinius guard our door .
"My evidence that you have wronged me is that you condemned and disgraced Lucius Pella for taking bribes here from the Sardinians , and you ignored my letters , where I argued that he was innocent ; I know the man .","That you have wronged me doth appear in this : You have condemned and noted Lucius Pella For taking bribes here of the Sardians , Wherein my letters , praying on his side Because I knew the man , were slighted off ."
You wronged yourself to write on behalf of such a man .,You wronged yourself to write in such a case .
"In a time like this , it doesn't make sense to criticize every offense .",In such a time as this it is not meet That every nice offense should bear his comment .
"I'll tell you , Cassius , you yourself have been called greedy and been accused of giving your positions to undeserving men in exchange for gold .","Let me tell you , Cassius , you yourself Are much condemned to have an itching palm , To sell and mart your offices for gold To undeservers ."
"Me , ""greedy"" !","I ""an itching palm"" !"
"You know , if you were anyone other than Brutus , that speech would be your last .","You know that you are Brutus that speak this , Or , by the gods , this speech were else your last ."
"The name of Cassius gives credit to these corrupt actions , and so they go unpunished .","The name of Cassius honors this corruption , And chastisement doth therefore hide his head ."
Unpunished !,Chastisement !
"Remember March , March 15th .","Remember March , the ides of March remember ."
Didn't great Caesar bleed for the sake of justice ?,Did not great Julius bleed for justice ' sake ?
Who among us stabbed him for any cause but justice ?,"What villain touched his body , that did stab , And not for justice ?"
Should we now dirty our fingers with lowly bribes and sell the mighty offices that we hold for whatever money we can get our hands on ?,"What , shall one of us That struck the foremost man of all this world But for supporting robbers , shall we now Contaminate our fingers with base bribes , And sell the mighty space of our large honors For so much trash as may be grasped thus ?"
I'd rather be a dog and howl at the moon than be that kind of Roman .,I had rather be a dog and bay the moon Than such a Roman .
"Brutus , do not provoke me .","Brutus , bait not me ."
I will not take it .,I'll not endure it .
You're forgetting yourself when you back me into a corner .,You forget yourself To hedge me in .
"I'm a soldier , more experienced than you , and better able to give orders .","I am a soldier , I , Older in practice , abler than yourself To make conditions ."
Get lost !,Go to .
"You are not , Cassius .","You are not , Cassius ."
I am .,I am .
I say you're not .,I say you are not .
Don't provoke me any further or I'll forget to restrain myself .,"Urge me no more , I shall forget myself ."
"If you care about your health , you won't push me any further .","Have mind upon your health , tempt me no further ."
"Leave , you little man .","Away , slight man !"
Is this possible ?,Is 't possible ?
"Listen to me , for I have something to tell you .","Hear me , for I will speak ."
Does a madman scare me when he stares at me ?,Shall I be frighted when a madman stares ?
But why do you keep me here so long ?,But wherefore do you hold me here so long ?
What do you want to tell me ?,What is it that you would impart to me ?
"I know this quality in you , Brutus , it's as familiar to me as your face .","I know that virtue to be in you , Brutus , As well as I do know your outward favor ."
"Indeed , honor is what I want to talk to you about .","Well , honor is the subject of my story ."
"I don't know what you and other men think of this life , but as for me , I'd rather not live at all than live to worship a man as ordinary as myself .","I can not tell what you and other men Think of this life , but , for my single self , I had as lief not be as live to be In awe of such a thing as I myself ."
I was born as free as Caesar .,I was born free as Caesar .
So were you .,So were you .
"We both have eaten as well , and we can both endure the cold winter as well as he .","We both have fed as well , and we can both Endure the winter's cold as well as he ."
"Once , on a cold and windy day , when the river Tiber was crashing against its banks , Caesar said to me , ""Cassius , I dare you to jump into this rough water with me and swim to that point there."" As soon as he spoke , though I was fully dressed , I plunged in and called for him to follow .","For once upon a raw and gusty day , The troubled Tiber chafing with her shores , Caesar said to me , ""Darest thou , Cassius , now Leap in with me into this angry flood And swim to yonder point ? "" Upon the word , Accoutred as I was , I plunged in And bade him follow ."
And he did .,So indeed he did .
"But before we reached the end point , Caesar cried , ""Help me , Cassius , or I will sink ! "" And just as Aeneas , the hero who founded Rome , emerged from the fires of Troy with his elderly father Anchises on his shoulder , so I emerged from the Tiber carrying the tired Caesar .","But ere we could arrive the point proposed , Caesar cried , ""Help me , Cassius , or I sink ! "" I , as Aeneas , our great ancestor , Did from the flames of Troy upon his shoulder The old Anchises bear , so from the waves of Tiber Did I the tired Caesar ."
"All this"" ?","All this"" ?"
"Yes , and more .","Ay , more ."
"Go ahead , rage till your proud heart breaks .",Fret till your proud heart break .
"Show your slaves how mad you are , and make your servants tremble .",Go show your slaves how choleric you are And make your bondmen tremble .
Has it come to this ?,Is it come to this ?
You say you're a better soldier .,You say you are a better soldier .
Show it !,Let it appear so .
"Make your boasts come true , and I'll be thrilled .","Make your vaunting true , And it shall please me well ."
I'm always happy to hear about brave men .,"For mine own part , I shall be glad to learn of noble men ."
You wrong me in every way .,You wrong me every way .
"You wrong me , Brutus .","You wrong me , Brutus ."
"When Caesar was alive , even he wouldn't dare anger me like this .","When Caesar lived , he durst not thus have moved me ."
"Oh , be quiet .","Peace , peace !"
You wouldn't have dared to tempt him so .,You durst not so have tempted him .
I wouldn't have dared !,I durst not !
No .,No .
"You wouldn't have dared , out of fear for your life .",For your life you durst not .
Don't take my love for granted .,Do not presume too much upon my love .
I might do something I'll be sorry for .,I may do that I shall be sorry for .
You've already done something you should be sorry for .,You have done that you should be sorry for .
"Your threats don't scare me , Cassius , because I'm so secure in my honesty and integrity that they pass me by like a weak breeze .","There is no terror , Cassius , in your threats , For I am armed so strong in honesty That they pass by me as the idle wind , Which I respect not ."
"I asked you for gold to pay my soldiers , and you wouldn't give it to me .","I did send To you for gold to pay my legions , Which you denied me ."
Was that the Caius Cassius that I knew ?,Was that done like Cassius ?
And would I have ever done that to you ?,Should I have answered Caius Cassius so ?
I didn't refuse you .,I denied you not .
You did .,You did .
I didn't .,I did not .
The man who brought my answer to you was a fool .,He was but a fool that brought My answer back .
You have broken my heart .,Brutus hath rived my heart .
"A friend should put up with his friend's weaknesses , but you exaggerate mine .","A friend should bear his friend's infirmities , But Brutus makes mine greater than they are ."
I don't until you practice them on me .,"I do not , till you practice them on me ."
You don't love me .,You love me not .
I don't like your faults .,I do not like your faults .
A friend would never see those faults .,A friendly eye could never see such faults .
"No , a flatterer wouldn't , even if the faults were as huge as Mount Olympus .","A flatterer's would not , though they do appear As huge as high Olympus ."
"Oh , I could weep my soul right out of myself !","Oh , I could weep My spirit from mine eyes ."
There's my dagger Put away your dagger .,Sheathe your dagger .
"Be angry whenever you like , it's all right with me .","Be angry when you will , it shall have scope ."
"Do whatever you want , and I'll say your insults are just a bad mood .","Do what you will , dishonor shall be humor ."
"When I said that , I was angry too .","When I spoke that , I was ill-tempered too ."
"You admit it , then ?",Do you confess so much ?
Give me your hand .,Give me your hand .
And my heart too .,And my heart too .
"Oh , Brutus !",O Brutus !
What's the matter ?,What's the matter ?
"Do you have enough love for me to be patient when my bad temper , which I inherited from my mother , makes me forget how I should behave ?","Have not you love enough to bear with me , When that rash humor which my mother gave me Makes me forgetful ?"
"Yes , Cassius .","Yes , Cassius ."
"And from now on , when you get hot with me , I'll assume it's your mother speaking and leave it at that .","And from henceforth When you are over-earnest with your Brutus , He'll think your mother chides and leave you so ."
What's this !,How now ?
What's the matter ?,What's the matter ?
"You should be ashamed , generals !","For shame , you generals !"
What do you think you're doing ?,What do you mean ?
"Love each other and be friends , like two such men should be .","Love , and be friends as two such men should be ."
"Listen to me , because I'm older than you , surely .","For I have seen more years , I'm sure , than ye ."
"Be patient with him , Brutus .","Bear with him , Brutus ."
That's just how he is .,Tis his fashion .
I'll humor him when he learns how to behave .,I'll know his humor when he knows his time .
What should we do with all these rhyming fools that follow us from post to post ?,What should the wars do with these jigging fools ?
"Get out of here , my friend .","Companion , hence !"
"Away , away , be gone .","Away , away , be gone ."
"Lucillius and Titinius , order the commanders to have the men camp for the night .","Lucillius and Titinius , bid the commanders Prepare to lodge their companies tonight ."
"And return to us immediately , bringing Messala with you .","And come yourselves , and bring Messala with you , Immediately to us ."
I didn't think you could even be so angry .,I did not think you could have been so angry .
"Oh Cassius , I'm tired out by many sorrows .","O Cassius , I am sick of many griefs ."
Portia is dead .,Portia is dead .
Portia !,"Ha , Portia ?"
She is dead .,She is dead .
What an irreplaceable and grievous loss !,O insupportable and touching loss !
What sickness did she die of ?,Upon what sickness ?
"She was worried about my absence , and about the fact that young Octavius and Mark Antony have grown so strong , which I found out at the same time as the news of her death .","Impatient of my absence , And grief that young Octavius with Mark Antony Have made themselves so strong , for with her death That tidings came , with this she fell distract And , her attendants absent , swallowed fire ."
And that's how she died ?,And died so ?
"Yes , like that .",Even so .
"Oh , immortal gods !",O ye immortal gods !
My heart is thirsty for that noble promise .,My heart is thirsty for that noble pledge .
"Fill my cup , Lucius , until the wine overflows it .","Fill , Lucius , till the wine o'erswell the cup ."
I can not drink too much of Brutus's love .,I can not drink too much of Brutus ' love .
Now let's sit closely around this candle and discuss our needs .,Now sit we close about this taper here And call in question our necessities .
"Portia , are you really gone ?","Portia , art thou gone ?"
"No more about that , please .","No more , I pray you ."
"Messala , I have received these letters explaining that young Octavius and Mark Antony are rushing toward Philippi and bearing down upon us with a mighty power .","Messala , I have here received letters That young Octavius and Mark Antony Come down upon us with a mighty power , Bending their expedition toward Philippi ."
I have received letters that say the same .,Myself have letters of the selfsame tenor .
And anything else ?,With what addition ?
"That with a series of legal writs , Octavius , Antony , and Lepidus have put a hundred senators to death .","That by proscription and bills of outlawry , Octavius , Antony , and Lepidus Have put to death an hundred senators ."
"On that point , our letters don't agree .",Therein our letters do not well agree .
"My letters say only seventy senators were killed , one being Cicero .","Mine speak of seventy senators that died By their proscriptions , Cicero being one ."
Cicero too ?,Cicero one ?
"Cicero is dead , by their decree .","Cicero is dead , And by that order of proscription ."
"No , Messala .","No , Messala ."
And you haven't heard any news about her in your letters ?,Nor nothing in your letters writ of her ?
"Nothing , Messala .","Nothing , Messala ."
I think that's strange .,That methinks is strange .
Why do you ask ?,Why ask you ?
Have you heard something of her in your letters ?,Hear you aught of her in yours ?
"No , my lord .","No , my lord ."
"Now , as you're a Roman , tell me the truth .","Now , as you are a Roman , tell me true ."
Then you must take the truth I have to tell like a Roman .,Then like a Roman bear the truth I tell .
"It's certain that she is dead , and she died in a strange way .","For certain she is dead , and by strange manner ."
"Well , good-bye , Portia .","Why , farewell , Portia ."
"We all must die , Messala .","We must die , Messala ."
"Having already thought about the fact that she would have to die sometime , I can endure her death now .","With meditating that she must die once , I have the patience to endure it now ."
That's the way great men ought to endure great losses .,Even so great men great losses should endure .
"I've practiced Stoicism with as much devotion as you , but I still couldn't bear this news like you do .","I have as much of this in art as you , But yet my nature could not bear it so ."
"Well , let's move on to our work with the living .","Well , to our work alive ."
What do you think of marching to Philippi immediately ?,What do you think Of marching to Philippi presently ?
I don't think it's a good idea .,I do not think it good .
Why not ?,Your reason ?
Here's why : it'd be better for the enemy to come after us .,This it is : 'T is better that the enemy seek us .
"That way , he'll waste his provisions and tire out his soldiers , weakening his own capacities , while we , lying still , are rested , energetic , and nimble .","So shall he waste his means , weary his soldiers , Doing himself offense , whilst we , lying still , Are full of rest , defense , and nimbleness ."
"If we meet him at Philippi , these people will be at our backs .","The enemy , marching along by them , By them shall make a fuller number up , Come on refreshed , new-added , and encouraged , From which advantage shall we cut him off If at Philippi we do face him there , These people at our back ."
"Listen to me , good brother .","Hear me , good brother , Under your pardon ."
Our regiments are full to the brim ; our cause is ready .,"You must note beside , That we have tried the utmost of our friends , Our legions are brim-full , our cause is ripe ."
The enemy gets larger each day .,The enemy increaseth every day .
"We , now at our largest , can only decrease .","We , at the height , are ready to decline ."
"It's on such a high tide that we're now floating , and we must take the current when it is offered , or lose our campaign .","On such a full sea are we now afloat , And we must take the current when it serves Or lose our ventures ."
"If that's what you want , all right .","Then , with your will , go on ."
We'll go forward with you and meet them at Philippi .,"We'll along ourselves , and meet them at Philippi ."
"It's now late at night , and actions must accommodate bodily needs , which we'll satisfy with only a short rest .","The deep of night is crept upon our talk , And nature must obey necessity , Which we will niggard with a little rest ."
That's all there is to say .,There is no more to say ?
There's nothing else .,No more .
Good night .,Good night .
We'll rise and leave early tomorrow .,Early tomorrow will we rise and hence .
Lucius !,Lucius !
Let's pray that we never come into conflict like that again .,Never come such division 'tween our souls .
"Let's not , Brutus .","Let it not , Brutus ."
"And this is the man who has now become a god , and I'm a wretched creature who must bow down if Caesar so much as carelessly nods my way .","Is now become a god , and Cassius is A wretched creature and must bend his body If Caesar carelessly but nod on him ."
"In Spain , Caesar had a fever , and it made him shake .","He had a fever when he was in Spain , And when the fit was on him , I did mark How he did shake ."
"It's true , this so-called ""god"" , he shook .","Tis true , this god did shake !"
"His cowardly lips turned white , and the same eye whose gaze terrifies the world lost its gleam .","His coward lips did from their color fly , And that same eye whose bend doth awe the world Did lose his luster ."
"I heard him groan , yes , I did , and the same tongue that ordered the Romans to obey him and transcribe his speeches in their books cried , ""Give me some water , Titinius , "" like a sick girl .","I did hear him groan , Ay , and that tongue of his that bade the Romans Mark him and write his speeches in their books , ""Alas , "" it cried , ""give me some drink , Titinius , "" As a sick girl ."
It astounds me that such a weak man could beat the whole world and carry the trophy of victory alone .,"Ye gods , it doth amaze me A man of such a feeble temper should So get the start of the majestic world And bear the palm alone ."
More shouting !,Another general shout !
I think this applause is for some new honors awarded to Caesar .,I do believe that these applauses are For some new honors that are heaped on Caesar .
"Why , Caesar straddles the narrow world like a giant , and we petty men walk under his huge legs and look forward only to dying dishonorably , as slaves .","Why , man , he doth bestride the narrow world Like a Colossus , and we petty men Walk under his huge legs and peep about To find ourselves dishonorable graves ."
Men can be masters of their fate .,Men at some time are masters of their fates .
"It is not destiny's fault , but our own faults , that we're slaves .","The fault , dear Brutus , is not in our stars But in ourselves , that we are underlings ."
"Brutus"" and ""Caesar."" What's so special about ""Caesar"" ?","Brutus and Caesar , what should be in that ""Caesar"" ?"
Why should that name be proclaimed more than yours ?,Why should that name be sounded more than yours ?
"Write them together , yours is just as good a name .","Write them together , yours is as fair a name ."
"Pronounce them , it is just as nice to say .","Sound them , it doth become the mouth as well ."
Everything's fine .,Everything is well .
"Good night , my lord .","Good night , my lord ."
"Good night , good brother .","Good night , good brother ."
"Good night , Lord Brutus .","Good night , Lord Brutus ."
"Farewell , everyone .","Farewell , everyone ."
Give me the gown .,Give me the gown .
Where's your lute ?,Where is thy instrument ?
Here in the tent .,Here in the tent .
"What , are you sleepy ?","What , thou speak'st drowsily ?"
Call Claudio and some of my other men .,Call Claudio and some other of my men .
I'll have them sleep on cushions in my tent .,I'll have them sleep on cushions in my tent .
Varrus and Claudio !,Varrus and Claudio !
"Did you call , my lord ?",Calls my lord ?
"Sirs , I ask you to sleep in my tent .","I pray you , sirs , lie in my tent and sleep ."
I might wake you up in a while to send you on an errand to my brother Cassius .,It may be I shall raise you by and by On business to my brother Cassius .
"If you like , we'll stand by and wait to do whatever you need .","So please you , we will stand and watch your pleasure ."
"Look , Lucius , here's the book I was searching for .","Look , Lucius , here's the book I sought for so ."
I put it in the pocket of my nightgown .,I put it in the pocket of my gown .
I was sure that you hadn't given it to me .,I was sure your lordship did not give it me .
Can you stay awake a bit longer and play a few tunes on your lute ?,"Canst thou hold up thy heavy eyes awhile , And touch thy instrument a strain or two ?"
"Yes , my lord , if you would like .","Ay , my lord , an 't please you ."
"I would , my boy .","It does , my boy ."
"I ask too much of you , but you're always willing .","I trouble thee too much , but thou art willing ."
"It's my duty , sir .","It is my duty , sir ."
I shouldn't make you do more than you're able .,I should not urge thy duty past thy might .
I know that young men look forward to their rest .,I know young bloods look for a time of rest .
"I've already slept , my lord .","I have slept , my lord , already ."
"That was good planning , and you'll sleep some more .","It was well done , and thou shalt sleep again ."
I won't keep you very long .,I will not hold thee long .
"If I live through this , I'll be good to you .","If I do live , I will be good to thee ."
This is a sleepy tune .,This is a sleepy tune .
"Gentle boy , good night .","O murderous slumber , Layst thou thy leaden mace upon my boy That plays thee music ? , Gentle knave , good night ."
I won't trouble you so much as to wake you .,I will not do thee so much wrong to wake thee .
"Good night , good boy .","And , good boy , good night ."
"Let me see , let me see .","Let me see , let me see ."
Didn't I turn down the page where I left off reading ?,Is not the leaf turned down Where I left reading ?
"Here it is , I think .","Here it is , I think ."
I think it's my bad eyesight that's making me see this horrible vision .,I think it is the weakness of mine eyes That shapes this monstrous apparition .
It's coming toward me .,"It comes upon me. , Art thou any thing ?"
"Are you a god , an angel , or a devil , that you make my blood turn cold and my hair stand up ?","Art thou some god , some angel , or some devil That makest my blood cold and my hair to stare ?"
Tell me what you are .,Speak to me what thou art .
"I'm your evil spirit , Brutus .","Thy evil spirit , Brutus ."
Why do you come here ?,Why comest thou ?
To tell you that you'll see me at Philippi .,To tell thee thou shalt see me at Philippi .
Then I'll see you again ?,"Well , then I shall see thee again ?"
"Yes , at Philippi .","Ay , at Philippi ."
"Alright , then I'll see you at Philippi .","Why , I will see thee at Philippi , then ."
"Evil spirit , I want to talk some more .","Ill spirit , I would hold more talk with thee ."
Claudio !,Claudio !
Claudio !,"The strings , my lord , are false ."
He thinks he's still playing his instrument .,He thinks he still is at his instrument .
"Lucius , wake up !","Lucius , awake ."
My lord ?,My lord ?
"Were you dreaming , Lucius ?","Didst thou dream , Lucius , that thou so criedst out ?"
"My lord , I don't think I cried out .","My lord , I do not know that I did cry ."
"Yes , you did .","Yes , that thou didst ."
Did you see anything ?,Didst thou see any thing ?
"Nothing , my lord .","Nothing , my lord ."
My lord ?,My lord ?
My lord ?,My lord ?
Why did you cry out in your sleep ?,"Why did you so cry out , sirs , in your sleep ?"
"Did we , my lord ?","Did we , my lord ?"
Yes .,Ay .
Did you see anything ?,Saw you anything ?
"No , my lord , I didn't see anything .","No , my lord , I saw nothing ."
"Me neither , my lord .","Nor I , my lord ."
Go to my brother Cassius .,Go and commend me to my brother Cassius .
"Order him to advance his forces first thing , and we'll follow .","Bid him set on his powers betimes before , And we will follow ."
"Yes , my lord .","It shall be done , my lord ."
"Now , Antony , our prayers have been answered .","Now , Antony , our hopes are answered ."
You said the enemy wouldn't come down but keep to the hills and upper regions .,You said the enemy would not come down But keep the hills and upper regions .
It seems not .,It proves not so .
Their forces are nearby .,Their battles are at hand .
"They intend to challenge us here at Philippi , responding to our challenge before we've even challenged him .","They mean to warn us at Philippi here , Answering before we do demand of them ."
"I know how they think , and I understand why they're doing this .","Tut , I am in their bosoms , and I know Wherefore they do it ."
"They really wish they were somewhere else , but they want to descend on us , looking fierce so we'll think they're brave .","They could be content To visit other places , and come down With fearful bravery , thinking by this face To fasten in our thoughts that they have courage ."
But they aren't .,But 'tis not so .
"Prepare yourselves , generals .","Prepare you , generals ."
The enemy approaches with great display .,The enemy comes on in gallant show .
"They show their bloody heralds of battle , and something must be done immediately .","Their bloody sign of battle is hung out , And something to be done immediately ."
"Octavius , lead your forces slowly out to the left side of the level field .","Octavius , lead your battle softly on , Upon the left hand of the even field ."
I'll go to the right side .,Upon the right hand I .
You stay on the left .,Keep thou the left .
Why are you defying me in this urgent matter ?,Why do you cross me in this exigent ?
They want to talk .,They stand and would have parley .
"Stay here , Titinius .","Stand fast , Titinius ."
We have to go out and talk to them .,We must out and talk .
"Mark Antony , should we give the signal to attack ?","Mark Antony , shall we give sign of battle ?"
"No , Octavius Caesar , we'll respond to their charge .","No , Caesar , we will answer on their charge ."
Go forward .,Make forth .
The generals want to speak with us .,The generals would have some words .
Words before fighting .,Words before blows .
"Is that how it is , countrymen ?","Is it so , countrymen ?"
"Not that we love words more than fighting , like you do .","Not that we love words better , as you do ."
"Good words are better than bad strokes , Octavius .","Good words are better than bad strokes , Octavius ."
"Brutus , you give a nice speech along with your evil strokes .","In your bad strokes , Brutus , you give good words ."
"But your words are as sweet as honey , you've stolen from the bees and left them with nothing .","But for your words , they rob the Hybla bees And leave them honeyless ."
"I took their stings too , wouldn't you say ?",Not stingless too ?
"Villains , you didn't do even that much when your vile daggers struck each other as they hacked up Caesar's sides .","Villains , you did not so when your vile daggers Hacked one another in the sides of Caesar ."
"Now , Brutus , you have only yourself to thank .","Flatterers ? , Now , Brutus , thank yourself ."
"Come , come , let's remember why we're here .",When think you that the sword goes up again ?
"If arguing makes us sweat , the real trial will turn that water to blood .","Never , till Caesar's three and thirty wounds Be well avenged , or till another Caesar Have added slaughter to the sword of traitors ."
"Caesar , you're not going to be killed by a traitor , unless you kill yourself..","Caesar , thou canst not die by traitors ' hands Unless thou bring'st them with thee ."
I hope you're right .,So I hope .
I wasn't born to die on your sword .,I was not born to die on Brutus ' sword .
"If you were the noblest of your family , young man , you couldn't die more honorably .","O , if thou wert the noblest of thy strain , Young man , thou couldst not die more honorable ."
"An annoying schoolboy , unworthy of such an honor , joined by a masquerader and a partier !","A peevish schoolboy , worthless of such honor , Joined with a masker and a reveler !"
Still the same old Cassius !,Old Cassius still .
"If you dare to fight today , come to the field .","If you dare fight today , come to the field ."
"If not , come when you have the courage .","If not , when you have stomachs ."
"Now let the wind blow , waves swell , and ships sink !","Why , now , blow wind , swell billow , and swim bark !"
The storm has begun and everything is at stake .,The storm is up and all is on the hazard .
Messala !,Messala !
"Messala , today is my birthday , I was born on this very day .","Messala , This is my birthday , as this very day Was Cassius born ."
"Give me your hand , Messala .","Give me thy hand , Messala ."
"You'll be my witness that I've been forced , as Pompey was , to wager all of our freedoms on one battle .","Be thou my witness that against my will , As Pompey was , am I compelled to set Upon one battle all our liberties ."
You know that I used to believe in Epicurus and his disregard for omens .,You know that I held Epicurus strong And his opinion .
I've changed my mind now and partly believe in omens .,"Now I change my mind , And partly credit things that do presage ."
