,input,target
9013,"There is a person named ""Macaca.""",Macbeth .
9014,"Stand with us, then.",Then stand with us .
9015,There are some streaks of day on the west.,The west yet glimmers with some streaks of day .
9016,The subject of our watch is now spurs the lated traveler apace to gain the timely inn and near approaches.,"Now spurs the lated traveler apace To gain the timely inn , and near approaches The subject of our watch ."
9017,"The rest are within the note of expectation, already.",Then 'tis he : the rest That are within the note of expectation Already are i ' th ' court .
9018,Tis he.,Tis he .
9019,Stand to the side.,Stand to 't .
9020,The rain will fall tonight.,It will be rain tonight .
9021,Let it fall down.,Let it come down .
9022,It was treachery!,O treachery !
9023,"Fly, good Fleance, fly, fly, fly!","Fly , good Fleance , fly , fly , fly !"
9024,Thou may'st revenge' on the slave.,"Thou may 'st revenge , O slave !"
9025,The person who struck out the light.,Who did strike out the light ?
9026,Was it not the way to go?,Was 't not the way ?
9027,There's one that's down.,There's but one down .
9028,The son is running away.,The son is fled .
9029,Half of our affair has been lost.,We have lost best half of our affair .
9030,Let's talk about how much is done.,"Well , let's away and say how much is done ."
9031,"At first and last, a warm welcome.","At first And last , the hearty welcome ."
9032,"Thanks a lot, your majesty.",Thanks to your majesty .
9033,We will mingle with society and play the humble host.,Ourself will mingle with society And play the humble host .
9034,"I would like to inform all of our friends that they are welcome, for my heart says so.","Pronounce it for me , sir , to all our friends , For my heart speaks they are welcome ."
9035,"They encounter thee with their hearts, thanks.","See , they encounter thee with their hearts ' thanks ."
9036,Both sides are in agreement.,Both sides are even .
9037,Here I will sit.,Here I'll sit i ' th ' midst .
9038,You should be large in Mirth.,Be large in mirth .
9039,We're going to drink a measure from the table.,Anon we'll drink a measure The table round .
9040,Tis Banquo's then.,Tis Banquo's then .
9041,"My lord, his throat has been cut.","My lord , his throat is cut ."
9042,That I did it for him.,That I did for him .
9043,"He's good that did the like for Fleance, yet he's the best cutthroat.",Thou art the best o ' th ' cutthroats : Yet he's good that did the like for Fleance .
9044,"If you didst it, you art the nonpareil.","If thou didst it , thou art the nonpareil ."
9045,"Fleance isscaped, the most royal sir.","Most royal sir , Fleance is 'scaped ."
9046,Then comes my fit again.,Then comes my fit again .
9047,"I had been perfect, Whole as the marble, founded as the rock, as broad and general as the casing air.","I had else been perfect , Whole as the marble , founded as the rock , As broad and general as the casing air ."
9048,"Thank you, my good lord.","Ay , my good lord ."
9049,"He bides in a ditch, with twenty trenched gashes on his head, The least a death to nature could have.","Safe in a ditch he bides , With twenty trenched gashes on his head , The least a death to nature ."
9050,"Thanks for that, I appreciated it.",Thanks for that .
9051,There is a grown serpent in this location.,There the grown serpent lies .
9052,The worm that fled Hath nature will breed venom in the future and there will be no teeth for the present.,The worm that's fled Hath nature that in time will venom breed ; No teeth for th ' present .
9053,Get thee out of the picture.,Get thee gone .
9054,We will hear ourselves again tomorrow.,Tomorrow We'll hear ourselves again .
9055,"You don't give the cheer, my royal lord.","My royal lord , You do not give the cheer ."
9056,"The best place to feed was at home, the sauce to meat is ceremony, and the meeting was bare without it.","To feed were best at home ; From thence , the sauce to meat is ceremony ; Meeting were bare without it ."
9057,"Where hast you been, sister?","Where hast thou been , sister ?"
9058,Killing swine is a crime.,Killing swine .
9059,"Where are you? Sister, where are you?","Sister , where thou ?"
9060,A sailor's wife had chestnuts in her lap and she had to eat them.,"A sailor's wife had chestnuts in her lap , And munched , and munched , and munched ."
9061,"""Give me"", quoth I.","Give me , "" quoth I ."
9062,"The rump-fed runnion cries, ""Aroint thee, witch!"".","Aroint thee , witch ! "" the rump-fed runnion cries ."
9063,The kind is kind.,Thou 'rt kind .
9064,And I another person.,And I another .
9065,I will drain him as hay.,I'll drain him dry as hay .
9066,"Hang upon his penthouse lid, sleep will not happen night or day.",Sleep shall neither night nor day Hang upon his penthouse lid .
9067,He will live a man who won't tolerate him.,He shall live a man forbid .
9068,"Shall he dwindle, peak and pine? Weary sev'nnights nine times nine.","Weary sev'nnights nine times nine Shall he dwindle , peak and pine ."
9069,It was a sweet remembrancer.,Sweet remembrancer !
9070,May your highness sit down and relax.,May 't please your highness sit .
9071,Lays blamed his absence upon his promise.,"His absence , sir , Lays blame upon his promise ."
9072,"Please grace us with your company, 't your highness.'",Please 't your highness To grace us with your royal company ?
9073,The table is almost full.,The table's full .
9074,"Sir, this is a place that is reserved.","Here is a place reserved , sir ."
9075,Where are you located?,Where ?
9076,"My good lord, what are you talking about?","What , my good lord ?"
9077,"Gentlemen, go up.","Gentlemen , rise ."
9078,His highness is not up to par.,His highness is not well .
9079,Sit and be worthy friends.,"Sit , worthy friends ."
9080,My lord has been from his youth many times.,My lord is often thus And hath been from his youth .
9081,Keep the seat and pray for you.,"Pray you , keep seat ."
9082,"If you note him a lot, you will offend him and prolong his passion.","If much you note him , You shall offend him and extend his passion ."
9083,Don't feed him and don't regard him.,Feed and regard him not .
9084,"It's a bold one, that dare look on that, which might appall the devil.","Ay , and a bold one , that dare look on that Which might appall the devil ."
9085,It is proper stuff.,O proper stuff !
9086,The painting of your fear is what this is.,This is the very painting of your fear .
9087,The air-drawn dagger is the one you said led you to Duncan.,This is the air-drawn dagger which you said Led you to Duncan .
9088,A woman's story at a winter's fire would become A woman's story at a winter's fire because of the flaws and starts.,"Oh , these flaws and starts , Impostors to true fear , would well become A woman's story at a winter's fire , Authorized by her grandam ."
9089,Shame on itself.,Shame itself !
9090,Why are you making such faces?,Why do you make such faces ?
9091,You look but on a stool when all is done.,"When all's done , You look but on a stool ."
9092,"Prithee, look there!","Prithee , see there !"
9093,This is indeed!,Behold !
9094,Look at it.,Look !
9095,"If I stood here, I could see him.","If I stand here , I saw him ."
9096,"For shame, Fie!","Fie , for shame !"
9097,"When the brains were out, the man would die and there would be an end.","The time has been That , when the brains were out , the man would die , And there an end ."
9098,"They rise again, with twenty murders on their crowns, and push us out of our stools.",But now they rise again With twenty mortal murders on their crowns And push us from our stools .
9099,It's more strange than a murder is.,This is more strange Than such a murder is .
9100,"My lord, Your noble friends don't have you.","My worthy lord , Your noble friends do lack you ."
9101,We have our duties and the pledge.,"Our duties , and the pledge ."
9102,"Approach like the rugged Russian bear, The armed rhinoceros, or the Hyrcan tiger, and take any shape you want, and my firm nerves will never worry.","Approach thou like the rugged Russian bear , The armed rhinoceros , or th ' Hyrcan tiger ; Take any shape but that , and my firm nerves Shall never tremble ."
9103,"Be alive again, and dare me to the desert with your sword.","Or be alive again , And dare me to the desert with thy sword ."
9104,I protest the baby of a girl if I feel trembling.,"If trembling I inhabit then , protest me The baby of a girl ."
9105,It was a horrible shadow.,"Hence , horrible shadow !"
9106,"Unreal mockery, that's right.","Unreal mockery , hence !"
9107,I am a man again after being gone for a while.,"Why so , being gone , Why so , being gone , I am a man again ."
9108,You should sit still and pray.,Pray you sit still .
9109,"You broke the good meeting with most admired disorder, you have displaced the Mirth.","You have displaced the mirth , broke the good meeting , With most admired disorder ."
9110,"My lord, what sights are there?","What sights , my lord ?"
9111,I pray that you don't say anything.,"I pray you , speak not ."
9112,He is getting worse and worse.,He grows worse and worse .
9113,He was enraged by the question.,Question enrages him .
9114,"Good night, it was at once.","At once , good night ."
9115,A great night to all!,A kind good night to all !
9116,Stones and trees have been used to move things.,"Stones have been known to move , and trees to speak ."
9117,It was almost at odds with the morning.,"Almost at odds with morning , which is which ."
9118,"Did you send him something, sir?","Did you send to him , sir ?"
9119,"I will send it, but I hear it by the way.",I hear it by the way ; but I will send .
9120,"I keep a servant fee'd in his house, but there's not a single one of them.",There's not a one of them but in his house I keep a servant fee'd .
9121,"I will tomorrow, and be times with the strange sisters.","I will tomorrow , And betimes I will , to the weird sisters ."
9122,"For now, I am bent to know more, by the worst means, the worst.","More shall they speak , for now I am bent to know , By the worst means , the worst ."
9123,All causes should give way for my own good.,"For mine own good , All causes shall give way ."
9124,"Strange things I have in my head, which may be scanned, which must be acted out.","Strange things I have in head , that will to hand , Which must be acted ere they may be scanned ."
9125,Come and we'll sleep.,"Come , we'll to sleep ."
9126,Is the fear that wants hard use strange and self-destructive.,My strange and self-abuse Is the initiate fear that wants hard use .
9127,We are young but still in deed.,We are yet but young in deed .
9128,"Why, how now, Hecate.","Why , how now , Hecate !"
9129,You looked angry.,You look angerly .
9130,Is it possible that I don't reason with you as you are?,"Have I not reason , beldams as you are ?"
9131,Now is the time to make good on your promise.,But make amends now .
9132,Get you gone and meet me at the pit of Acheron in the morning.,"Get you gone , And at the pit of Acheron Meet me i ' th ' morning ."
9133,He will come to know his destiny.,Thither he Will come to know his destiny .
9134,Your vessels and your spells provide a lot of things.,"Your vessels and your spells provide , Your charms and everything beside ."
9135,I am willing to go up in the air.,I am for the air .
9136,I'll be spending Unto a dismal and a fatal end this night.,This night I'll spend Unto a dismal and a fatal end .
9137,Great business must be done at noon.,Great business must be wrought ere noon .
9138,There is a vap'rous drop on the corner of the moon.,Upon the corner of the moon There hangs a vap'rous drop profound .
9139,I will catch it and it will come to ground.,I'll catch it ere it come to ground .
9140,"By the strength of their illusion, he will be drawn on to his confused state.",And that distilled by magic sleights Shall raise such artificial sprites As by the strength of their illusion Shall draw him on to his confusion .
9141,"He will spurn fate, despise death, and bear his hopes for grace, and fear.","He shall spurn fate , scorn death , and bear His hopes 'bove wisdom , grace , and fear ."
9142,You all know that security is the most important enemy.,"And you all know , security Is mortals ' chiefest enemy ."
9143,"Hark, Hark!",Hark !
9144,I am being called.,I am called .
9145,My little spirit is sitting in a foggy cloud and stays for me.,"My little spirit , see , Sits in a foggy cloud and stays for me ."
9146,I think things have been strange.,Only I say Things have been strangely borne .
9147,Men should not walk too late.,Men must not walk too late .
9148,How monstrous was it for Malcolm and Donalbain to kill their father?,Who can not want the thought how monstrous It was for Malcolm and for Donalbain To kill their gracious father ?
9149,We want all of the things we need for now.,All which we pine for now .
9150,Hath was so frustrated by the report that the king prepared for a war.,And this report Hath so exasperated the king that he Prepares for some attempt of war .
9151,He was sent to Macduff?,Sent he to Macduff ?
9152,I will send my prayers for him.,I'll send my prayers with him .
9153,His bark will be tempest-tossed because it can not be lost.,"Though his bark can not be lost , Yet it shall be tempest-tossed ."
9154,Look at what I have.,Look what I have .
9155,Show me what you know.,"Show me , show me ."
9156,There is a drum.,"A drum , a drum !"
9157,The doth come from the dead.,Macbeth doth come .
9158,The cat was brinded and mewed.,Thrice the brinded cat hath mewed .
9159,"Harpier cries, ""'Tis time, 'tis time."" Round about the cauldron go.","Harpier cries , ""'Tis time , 'tis time."" Round about the cauldron go , In the poisoned entrails throw ."
9160,"Double toil and trouble, fire burn, and cauldron bubble.","Double , double toil and trouble , Fire burn , and cauldron bubble ."
9161,"Fire burn and cauldron bubble, Double, double toil and trouble.","Double , double toil and trouble , Fire burn and cauldron bubble ."
9162,"Fire burn and cauldron bubble, Double, double toil and trouble.","Double , double toil and trouble , Fire burn and cauldron bubble ."
9163,"Then the charm is firm and good, if you cool it with a baboon's blood.","Cool it with a baboon's blood , Then the charm is firm and good ."
9164,"Well done, well done!",Oh well done !
9165,"I am happy for your pains, and every one will share their gains.","I commend your pains , And every one shall share i ' th ' gains ."
9166,"Like elves and fairies in a ring, enchanting all that you put in, and now about the cauldron sing.","And now about the cauldron sing , Like elves and fairies in a ring , Enchanting all that you put in ."
9167,Something wicked this way comes when my thumbs are poked.,"By the pricking of my thumbs , Something wicked this way comes ."
9168,"Whoever knocks, open, locks, Whoever knocks.","Open , locks , Whoever knocks ."
9169,"You secret, black, and midnight hags, how now?","How now , you secret , black , and midnight hags ?"
9170,What is it that you do?,What is 't you do ?
9171,There is a deed without a name.,A deed without a name .
9172,"You come to know it, answer me, I conjure you by that which you profess.","I conjure you by that which you profess , Howe'er you come to know it , answer me ."
9173,Speak about something.,Speak .
9174,The demand is there.,Demand .
9175,We'll give you an answer.,We'll answer .
9176,"If our masters would rather hear it from our mouths, then that's what we'd say.","Say , if th ' hadst rather hear it from our mouths , Or from our masters ' ."
9177,"Call 'em, call 'em.",Call 'em .
9178,Let me look at them.,Let me see 'em .
9179,"Grease that's sweaten, from the murderer's gibbet throw Into the flame, pour in sow's blood, that has eaten Her nine farrow.","Pour in sow's blood , that hath eaten Her nine farrow ; grease that's sweaten From the murderer's gibbet throw Into the flame ."
9180,Tell me that He knows what I think.,"Tell me , thou unknown power , He knows thy thought ."
9181,Don't say anything after hearing his speech.,Hear his speech but say thou nought .
9182,"There is a movie called ""Macaca.""",Macbeth !
9183,"There is a movie called ""Macaca.""",Macbeth !
9184,"There is a movie called ""Macaca.""",Macbeth !
9185,Macduff should be beware.,Beware Macduff .
9186,The thane of Fife is not to be underestimated.,Beware the thane of Fife .
9187,Send me packing.,Dismiss me .
9188,Enough has been said.,Enough .
9189,"Thank you, for your good caution, whate'er.","Whate'er thou art , for thy good caution , thanks ."
9190,My fear has been harped by Thou.,Thou hast harped my fear aright .
9191,"One more word, He will not be commanded.","But one word more , He will not be commanded ."
9192,The first was more potent than this one.,Here's another More potent than the first .
9193,"There is a movie called ""Macaca.""",Macbeth !
9194,I would hear thee if I had three ears.,"Macbeth ! , Had I three ears , I'd hear thee ."
9195,"Be bold, bloody, and steadfast.","Be bloody , bold , and resolute ."
9196,"The power of man, for none of the women born, Shall harm Macbeth.","Laugh to scorn The power of man , for none of woman born Shall harm Macbeth ."
9197,I'll make sure that I take a bond of fate and double sure.,"But yet I'll make assurance double sure , And take a bond of fate ."
9198,"Thou shalt not live, that I may tell pale-hearted fear it lies, and sleep in spite of thunder.","Thou shalt not live , That I may tell pale-hearted fear it lies , And sleep in spite of thunder ."
9199,"The issue of a king wears upon his baby-brow the round and top of sovereignty, what is this?","What is this That rises like the issue of a king , And wears upon his baby-brow the round And top of sovereignty ?"
9200,Don't say 't' but listen.,Listen but speak not to 't .
9201,"Be proud, take no care, and be lion-mettled. Who chafes, who frets, or where conspirers are, be proud.","Be lion-mettled , proud , and take no care Who chafes , who frets , or where conspirers are ."
9202,"Until Great Birnam Wood to high Dunsinane Hill comes against him, he will never defeat them.",Macbeth shall never vanquished be until Great Birnam Wood to high Dunsinane Hill Shall come against him .
9203,That will never happen.,That will never be .
9204,Who can impress the forest by fixing the root of the tree?,"Who can impress the forest , bid the tree Unfix his earthbound root ?"
9205,The bodements are very sweet.,Sweet bodements !
9206,It was good!,Good !
9207,"""Rebellious dead, rise never till the wood of Birnam rise, and our high- placed Macbeth Shall live the lease of nature, pay his breath to time and mortal custom.""","Rebellious dead , rise never till the wood Of Birnam rise , and our high-placed Macbeth Shall live the lease of nature , pay his breath To time and mortal custom ."
9208,My heart is racing to know one thing.,Yet my heart Throbs to know one thing .
9209,Can your art tell me if Banquo's issue will ever arise in this kingdom?,"Tell me , if your art Can tell so much : shall Banquo's issue ever Reign in this kingdom ?"
9210,Don't seek to know anymore.,Seek to know no more .
9211,I will be satisfied with that.,I will be satisfied .
9212,"And an eternal curse fall on you, Deny me this.","Deny me this , And an eternal curse fall on you !"
9213,Let me know if you have any information.,Let me know .
9214,Why does that cauldron make noise?,Why sinks that cauldron ?
9215,What noise is that?,And what noise is this ?
9216,Show something.,Show .
9217,Show something.,Show .
9218,Show something.,Show .
9219,Show his eyes and mourn his death.,Show his eyes and grieve his heart .
9220,"Come like shadows, so leave!",Come like shadows ; so depart !
9221,The spirit of Banquo is reflected in the art of Thou.,Thou art too like the spirit of Banquo .
9222,I'll not be able to see anymore.,I'll see no more .
9223,The sight was horrible.,Horrible sight !
9224,Is this true?,"What , is this so ?"
9225,"Come, sisters, cheer us up, and show the best of our pleasures.","Come , sisters , cheer we up his sprites , And show the best of our delights ."
9226,Where are they located?,Where are they ?
9227,Are you gone?,Gone ?
9228,Stand aye accursed in the calendar for this hour.,Let this pernicious hour Stand aye accursed in the calendar !
9229,What do you think your grace's will be?,What's your grace's will ?
9230,Did you see the sisters that were weird?,Saw you the weird sisters ?
9231,"No, my lord, no.","No , my lord ."
9232,Did they not come by you?,Came they not by you ?
9233,"Yes, indeed, my lord.","No , indeed , my lord ."
9234,The galloping of horse was heard by me.,I did hear The galloping of horse .
9235,Who was the person that came by?,Who was 't came by ?
9236,"My lord, I bring you word that Macduff is fleeing to England.","Tis two or three , my lord , that bring you word Macduff is fled to England ."
9237,Is it possible that Fled to England?,Fled to England ?
9238,"Thank you, my good lord.","Ay , my good lord ."
9239,Time is anticipat'st my dread exploits.,"Time , thou anticipat'st my dread exploits ."
9240,No boasting is a good thing.,No boasting like a fool .
9241,This deed will be done before this purpose.,This deed I'll do before this purpose cool .
9242,Where are these gentlemen?,"But no more sights ! , Where are these gentlemen ?"
9243,Bring them to me where they are.,"Come , bring me where they are ."
9244,What had he done to get him to fly the land?,What had he done to make him fly the land ?
9245,"You have to be patient, madam.","You must have patience , madam ."
9246,He didn't have anything.,He had none .
9247,His flight was not normal.,His flight was madness .
9248,Our fears make us traitors when our actions don't go according to plan.,"When our actions do not , Our fears do make us traitors ."
9249,You don't know whether it was his wisdom or his fear.,You know not Whether it was his wisdom or his fear .
9250,The wisdom is there.,Wisdom !
9251,"To leave his wife, to leave his mansion, and to leave his titles in a place where he can be himself.","To leave his wife , to leave his babes , His mansion and his titles in a place From whence himself does fly ?"
9252,"For the poor wren, the most diminutive of birds, will fight, her young ones in her nest, against the owl.","For the poor wren , The most diminutive of birds , will fight , Her young ones in her nest , against the owl ."
9253,"All is fear and nothing is love, as little is the wisdom, where the flight runs against all reason.","All is the fear and nothing is the love , As little is the wisdom , where the flight So runs against all reason ."
9254,"My dearest, I pray you study yourself.","My dearest coz , I pray you school yourself ."
9255,"For your husband, he is noble, wise, judicious, and best knows The fits of the season.","But for your husband , He is noble , wise , judicious , and best knows The fits o ' th ' season ."
9256,I am taking my leave of you.,I take my leave of you .
9257,I'll be here again but it will not be long.,Shall not be long but I'll be here again .
9258,Things will cease if they don't climb up to what they were before.,"Things at the worst will cease , or else climb upward To what they were before. , My pretty cousin , Blessing upon you ."
9259,"He is a father, but he is not a father.","Fathered he is , and yet he's fatherless ."
9260,"Should I stay longer, it would be my disgrace and you would be uncomfortable.","I am so much a fool , should I stay longer It would be my disgrace and your discomfort ."
9261,I take my leave at the same time.,I take my leave at once .
9262,"Sirrah, your father has died.","Sirrah , your father's dead ."
9263,What are you going to do right now?,And what will you do now ?
9264,What will you do when you die?,How will you live ?
9265,"Mother, as birds do,","As birds do , Mother ."
9266,What about worms and flies.,"What , with worms and flies ?"
9267,"I mean, and so do they, with what I get.","With what I get , I mean , and so do they ."
9268,The bird is poor.,Poor bird !
9269,The pitfall and the gin are not things that Thou shalt fear.,"Thou 'dst never fear the net nor lime , The pitfall nor the gin ."
9270,"My father is alive and well, for all of you saying.","My father is not dead , for all your saying ."
9271,He is no longer alive.,"Yes , he is dead ."
9272,How do you deal with a father?,How wilt thou do for a father ?
9273,How will you deal with a husband?,"Nay , how will you do for a husband ?"
9274,I am able to buy me twenty at any market.,"Why , I can buy me twenty at any market ."
9275,"If you can, tell me what you are.","Speak , if you can : what are you ?"
9276,"It's all hail, Macbeth!","All hail , Macbeth !"
9277,"I wish to hail to thee, thane of Glamis.","Hail to thee , thane of Glamis !"
9278,"It's all hail, Macbeth!","All hail , Macbeth !"
9279,It's a good thing!,Hail !
9280,It's a good thing!,Hail !
9281,It's a good thing!,Hail !
9282,It was less than Macbeth and more than that.,Lesser than Macbeth and greater .
9283,"It's not so happy, but it's a lot happier.","Not so happy , yet much happier ."
9284,"Thou shalt get kings, even if you are none.","Thou shalt get kings , though thou be none ."
9285,"So all hail, Banquo and Macbeth.","So all hail , Macbeth and Banquo !"
9286,You will buy them and sell them again.,Then you'll buy 'em to sell again .
9287,"Thou speak'st with all of them, and yet, I have faith with wit enough for thee.","Thou speak'st with all thy wit ; and yet , i ' faith , With wit enough for thee ."
9288,"Mother, was my father a traitor?","Was my father a traitor , Mother ?"
9289,"He was, that's what I said.","Ay , that he was ."
9290,A traitor is someone who is disloyal.,What is a traitor ?
9291,"One that swears and lies, why.","Why , one that swears and lies ."
9292,Is it possible that all traitors do so.,And be all traitors that do so ?
9293,Every traitor that does that must be hanged.,Every one that does so is a traitor and must be hanged .
9294,Is it possible that they all be hanged for swearing and lying?,And must they all be hanged that swear and lie ?
9295,Every single one of them.,Every one .
9296,Who is responsible for hanging them?,Who must hang them ?
9297,The honest men were why.,"Why , the honest men ."
9298,There are liars and swearers that are good enough to beat the honest men and hang them up.,"Then the liars and swearers are fools , for there are liars and swearers enough to beat the honest men and hang up them ."
9299,You would weep for him if he were dead.,"If he were dead , you'd weep for him ."
9300,It was a good sign that I should have a new father as soon as possible.,"If you would not , it were a good sign that I should quickly have a new father ."
9301,How do you talk'st? Poor Prattler.,"Poor prattler , how thou talk'st !"
9302,"I wish you good fortune, fair lady!","Bless you , fair dame !"
9303,"I am perfect in your state of honor, but I am not known to you.","I am not to you known , Though in your state of honor I am perfect ."
9304,I don't believe that some danger approaches you nearly.,I doubt some danger does approach you nearly .
9305,"If you will listen to a man's advice, be away from here.","If you will take a homely man's advice , Be not found here ."
9306,Hence with your little ones.,Hence with your little ones .
9307,I think I am too savage to do worse to you. Which is too bad your person.,"To fright you thus methinks I am too savage ; To do worse to you were fell cruelty , Which is too nigh your person ."
9308,You should be preserved in Heaven.,Heaven preserve you !
9309,I am no longer willing to follow it.,I dare abide no longer .
9310,I wonder if I should fly.,Whither should I fly ?
9311,I have not done anything that was harmful.,I have done no harm .
9312,"I remember that I am in this earthly world, where to do harm is often laudable, and to do good sometime Accounted dangerous folly.","But I remember now I am in this earthly world , where to do harm Is often laudable , to do good sometime Accounted dangerous folly ."
9313,"I don't know if I should put up that womanly defense, to say that I have done no harm.","Why then , alas , Do I put up that womanly defense , To say I have done no harm ?"
9314,What are these people looking at?,What are these faces ?
9315,What is the location of your husband?,Where is your husband ?
9316,I hope that he is located in a place that is not unsanctified.,"I hope , in no place so unsanctified Where such as thou mayst find him ."
9317,He's not a good person.,He's a traitor .
9318,"Thou liest, the shag-haired villain.","Thou liest , thou shag-haired villain !"
9319,The young fry of treachery.,Young fry of treachery !
9320,"Mother, he has killed me.","He has killed me , mother ."
9321,"Run away, I am praying for you!","Run away , I pray you !"
9322,Weep our sad bosoms empty when we seek out some desolate shade.,Let us seek out some desolate shade and there Weep our sad bosoms empty .
9323,"We should rather hold the mortal sword and ride our downfall'n birthdom, like good men.","Let us rather Hold fast the mortal sword and , like good men , Bestride our downfall'n birthdom ."
9324,"New widows howl, new orphans cry, new sorrows strike heaven on the face, as if it felt with Scotland and yelled out like a dolor.","Each new morn New widows howl , new orphans cry , new sorrows Strike heaven on the face , that it resounds As if it felt with Scotland and yelled out Like syllable of dolor ."
9325,It might be so perchance that what you have said is true.,"What you have spoke , it may be so perchance ."
9326,"This tyrant, whose sole name blisters our tongues, was once thought to be honest.","This tyrant , whose sole name blisters our tongues , Was once thought honest ."
9327,You have been very fond of him.,You have loved him well .
9328,He has not touched you yet.,He hath not touched you yet .
9329,"I am young, but something you may deserve of him through me, and wisdom to offer up a weak, poor, innocent lamb to appease an angry god.","I am young , but something You may deserve of him through me , and wisdom To offer up a weak , poor , innocent lamb T ' appease an angry god ."
9330,I am not dangerous.,I am not treacherous .
9331,"There is a movie called ""Macaca.""",But Macbeth is .
9332,A good nature might recoil in an imperial charge.,A good and virtuous nature may recoil In an imperial charge .
9333,I will crave your forgiveness.,But I shall crave your pardon .
9334,"That which you are, my thoughts can not change.","That which you are , my thoughts can not transpose ."
9335,Angels are still bright even though some of them fell.,"Angels are bright still , though the brightest fell ."
9336,"Even though all things foul would wear the brows of grace, they must still look so.","Though all things foul would wear the brows of grace , Yet grace must still look so ."
9337,"Those precious motives, those strong knots of love, Without leave-taking, why in that rawness left you wife and child?","Why in that rawness left you wife and child , Those precious motives , those strong knots of love , Without leave-taking ?"
9338,"I want you to know that I own my own safeties, and I pray that you don't get jealous.","I pray you , Let not my jealousies be your dishonors , But mine own safeties ."
9339,"You might be just, Whatever I will think.","You may be rightly just , Whatever I shall think ."
9340,"Poor country, bleed, poor country.","Bleed , bleed , poor country !"
9341,"I wouldn't be the villain for the whole space that's in the tyrant's grasp, and the rich East to boot.","I would not be the villain that thou think'st For the whole space that's in the tyrant's grasp , And the rich East to boot ."
9342,You should not be offended.,Be not offended .
9343,I don't fear you as much as I fear you.,I speak not as in absolute fear of you .
9344,I believe that our country is beneath the yoke.,I think our country sinks beneath the yoke .
9345,"Each new day a gash is added to her wounds, it weeps, it bleeds, and each new day a gash is added to her wounds.","It weeps , it bleeds , and each new day a gash Is added to her wounds ."
9346,"I think there would be a lot of people lifted up in my right, and here from England.",I think withal There would be hands uplifted in my right ; And here from gracious England have I offer Of goodly thousands .
9347,What is he supposed to be?,What should he be ?
9348,It's not in the legions of horrible hell that a devil can come and ruin the life of a person.,Not in the legions Of horrid hell can come a devil more damned In evils to top Macbeth .
9349,"I grant him bloody, Luxurious, avaricious, false, deceitful, sudden, malicious, smacking of every sin that has a name, and so on.","I grant him bloody , Luxurious , avaricious , false , deceitful , Sudden , malicious , smacking of every sin That has a name ."
9350,There isn't a bottom in my voluptuousness.,"But there's no bottom , none , In my voluptuousness ."
9351,"Your wives, your daughters, your matrons, and your maids could not fill up the cistern of my lust, and my desire All continent impediments would oppose my will.","Your wives , your daughters , Your matrons , and your maids could not fill up The cistern of my lust , and my desire All continent impediments would o'erbear That did oppose my will ."
9352,Better than such a thing to rule.,Better Macbeth Than such an one to reign .
9353,Nature is a tyranny because of Boundless intemperance.,Boundless intemperance In nature is a tyranny .
9354,The fall of many kings has been due to the untimely emptying of the happy throne.,It hath been The untimely emptying of the happy throne And fall of many kings .
9355,"Fear not, as we will take upon you what you want.",But fear not yet To take upon you what is yours .
9356,We have women who are willing to help us.,We have willing dames enough .
9357,The sword of our slain kings was the avarice that Sticks deeper and grows with more root.,"This avarice Sticks deeper , grows with more pernicious root Than summer-seeming lust , and it hath been The sword of our slain kings ."
9358,But I do not have any.,But I have none .
9359,"Had I power, I would have poured the sweet milk of concord into hell, Uproar the universal peace, and confound All unity on earth.","Nay , had I power , I should Pour the sweet milk of concord into hell , Uproar the universal peace , confound All unity on earth ."
9360,"O Scotland, Scotland!","O Scotland , Scotland !"
9361,"If such a person is fit to govern, speak.","If such a one be fit to govern , speak ."
9362,"Well done, Fare thee well!",Fare thee well !
9363,"Old Siward, with ten thousand warlike men, already at a point, was setting forth before this approach.","Whither indeed , before thy here-approach , Old Siward , with ten thousand warlike men , Already at a point , was setting forth ."
9364,Why are you not talking?,Why are you silent ?
9365,It's hard to reconcile welcome and undesirable things at the same time.,Such welcome and unwelcome things at once 'T is hard to reconcile .
9366,"I pray you will come the king forth, more anon.","Well , more anon. , Comes the king forth , I pray you ?"
9367,There are a bunch of wretched souls that stay his cure.,"Ay , sir ; there are a crew of wretched souls That stay his cure ."
9368,"Their malady convinces The great sanctity of art, but at his touch, Such is heaven given his hand.","Their malady convinces The great assay of art , but at his touch , Such sanctity hath heaven given his hand , They presently amend ."
9369,"I would like to thank you, doctor.","I thank you , doctor ."
9370,What is the disease he is talking about?,What's the disease he means ?
9371,The evil is called by this name.,Tis called the evil .
9372,"Since I've been in England, I've seen this good king do a lot of miracles.","A most miraculous work in this good king , Which often since my here-remain in England I have seen him do ."
9373,"With this strange virtue, he has a heavenly gift of prophecy, and blessings hang about his throne, that speak to him full of grace.","With this strange virtue , He hath a heavenly gift of prophecy , And sundry blessings hang about his throne , That speak him full of grace ."
9374,See who comes here.,"See , who comes here ?"
9375,I don't know my countryman yet.,"My countryman , but yet I know him not ."
9376,"Hither, welcome to my cousin's house.","My ever-gentle cousin , welcome hither ."
9377,"Sir, a man.","Sir , amen ."
9378,Where does Scotland stand now?,Stands Scotland where it did ?
9379,"Poor country, Alas!","Alas , poor country !"
9380,It was almost afraid to know itself.,Almost afraid to know itself .
9381,"Oh, relation, it's too nice and true.","Oh , relation Too nice and yet too true !"
